source_id,table,aw_range,ph_range,classification
01-fda-food-code-2022,TableA_heat-treated-packaged,<=0.92,<=4.6,Non-TCS
01-fda-food-code-2022,TableA_heat-treated-packaged,<=0.92,>4.6-5.6,Non-TCS
01-fda-food-code-2022,TableA_heat-treated-packaged,<=0.92,>5.6,Non-TCS
01-fda-food-code-2022,TableA_heat-treated-packaged,>0.92-0.95,<=4.6,Non-TCS
01-fda-food-code-2022,TableA_heat-treated-packaged,>0.92-0.95,>4.6-5.6,Non-TCS
01-fda-food-code-2022,TableA_heat-treated-packaged,>0.92-0.95,>5.6,PA
01-fda-food-code-2022,TableA_heat-treated-packaged,>0.95,<=4.6,Non-TCS
01-fda-food-code-2022,TableA_heat-treated-packaged,>0.95,>4.6-5.6,PA
01-fda-food-code-2022,TableA_heat-treated-packaged,>0.95,>5.6,PA
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,<0.88,<4.2,Non-TCS
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,<0.88,4.2-4.6,Non-TCS
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,<0.88,>4.6-5.0,Non-TCS
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,<0.88,>5.0,Non-TCS
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,0.88-0.90,<4.2,Non-TCS
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,0.88-0.90,4.2-4.6,Non-TCS
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,0.88-0.90,>4.6-5.0,Non-TCS
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,0.88-0.90,>5.0,PA
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,>0.90-0.92,<4.2,Non-TCS
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,>0.90-0.92,4.2-4.6,Non-TCS
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,>0.90-0.92,>4.6-5.0,PA
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,>0.90-0.92,>5.0,PA
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,>0.92,<4.2,Non-TCS
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,>0.92,4.2-4.6,PA
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,>0.92,>4.6-5.0,PA
01-fda-food-code-2022,TableB_not-heat-treated-or-unpackaged,>0.92,>5.0,PA
