fahrenheit,celsius,lethality_6.5log,lethality_7log,rh_options_1_2_eligible,confidence
130,54.4,112 min.,121 min.,no,OCR-2PASS-AGREE
131,55.0,89 min.,97 min.,no,OCR-2PASS-AGREE
132,55.6,71 min.,77 min.,no,OCR-2PASS-AGREE
133,56.1,56 min.,62 min.,no,OCR-2PASS-AGREE
134,56.7,45 min.,47 min.,no,OCR-2PASS-AGREE
135,57.2,36 min.,37 min.,no,OCR-2PASS-AGREE
136,57.8,28 min.,32 min.,no,OCR-2PASS-AGREE
137,58.4,23 min.,24 min.,no,OCR-2PASS-AGREE
138,58.9,18 min.,19 min.,no,OCR-2PASS-AGREE
139,59.5,15 min.,15 min.,no,OCR-2PASS-AGREE
140,60.0,12 min.,12 min.,no,OCR-2PASS-AGREE
141,60.6,9 min.,10 min.,no,OCR-2PASS-AGREE
142,61.1,8 min.,8 min.,no,OCR-2PASS-AGREE
143,61.7,6 min.,6 min.,no,OCR-2PASS-AGREE
144,62.2,5 min.,5 min.,no,OCR-2PASS-AGREE
145,62.8,4 min.,4 min.,yes,OCR-2PASS-AGREE
146,63.3,169 sec.,182 sec.,yes,OCR-2PASS-AGREE
147,63.9,134 sec.,144 sec.,yes,OCR-2PASS-AGREE
148,64.4,107 sec.,115 sec.,yes,OCR-2PASS-AGREE
149,65.0,85 sec.,91 sec.,yes,OCR-2PASS-AGREE
150,65.6,67 sec.,72 sec.,yes,OCR-2PASS-AGREE
151,66.1,54 sec.,58 sec.,yes,OCR-2PASS-AGREE
152,66.7,43 sec.,46 sec.,yes,OCR-2PASS-AGREE
153,67.2,34 sec.,37 sec.,yes,OCR-2PASS-AGREE
154,67.8,27 sec.,29 sec.,yes,OCR-2PASS-AGREE
155,68.3,22 sec.,23 sec.,yes,OCR-2PASS-AGREE
156,68.9,17 sec.,19 sec.,yes,OCR-2PASS-AGREE
157,69.4,14 sec.,15 sec.,yes,OCR-2PASS-AGREE
158,70.0,0 sec.**,0 sec.**,yes,OCR-2PASS-AGREE
159,70.6,0 sec.**,0 sec.**,yes,OCR-2PASS-AGREE
160,71.1,0 sec.**,0 sec.**,yes,OCR-2PASS-AGREE
