fahrenheit,celsius,fat1,fat2,fat3,fat4,fat5,fat6,fat7,fat8,fat9,fat10,fat11,fat12,rh_options_1_2_eligible,confidence
136,57.8,64 min,64.3 min,64.6 min,64.9 min,65.3 min,65.8 min,66.3 min,66.9 min,67.6 min,68.4 min,69.5 min,70.8 min,no,OCR-2PASS-AGREE
137,58.3,51.9 min,52.2 min,52.4 min,52.8 min,53.2 min,53.6 min,54.1 min,54.7 min,55.3 min,56.2 min,57.2 min,58.5 min,no,OCR-2PASS-AGREE
138,58.9,42.2 min,42.5 min,42.7 min,43 min,43.4 min,43.8 min,44.2 min,44.8 min,45.4 min,46.2 min,47.2 min,48.5 min,no,OCR-2PASS-AGREE
139,59.4,34.4 min,34.6 min,34.9 min,35.1 min,35.4 min,35.8 min,36.2 min,36.7 min,37.3 min,38.1 min,39.1 min,40.4 min,no,OCR-2PASS-AGREE
140,60.0,28.1 min,28.3 min,28.5 min,28.7 min,29 min,29.3 min,29.7 min,30.2 min,30.8 min,31.5 min,32.5 min,33.7 min,no,OCR-2PASS-AGREE
141,60.6,23 min,23.2 min,23.3 min,23.5 min,23.8 min,24.1 min,24.4 min,24.9 min,25.5 min,26.2 min,27.1 min,28.2 min,no,OCR-2PASS-AGREE
142,61.1,18.9 min,19 min,19.1 min,19.3 min,19.5 min,19.8 min,20.1 min,20.5 min,21.1 min,21.7 min,22.6 min,23.7 min,no,OCR-2PASS-AGREE
143,61.7,15.5 min,15.6 min,15.7 min,15.9 min,16.1 min,16.3 min,16.6 min,17 min,17.4 min,18 min,18.8 min,19.8 min,no,OCR-2PASS-AGREE
144,62.2,12.8 min,12.8 min,12.9 min,13 min,13.2 min,13.4 min,13.7 min,14 min,14.4 min,15 min,15.7 min,16.6 min,no,OCR-2PASS-AGREE
145,62.8,10.5 min,10.6 min,10.6 min,10.7 min,10.8 min,11 min,11.3 min,11.5 min,11.9min,12.4 min,13 min,13.8 min,yes,OCR-2PASS-AGREE
