source_id,thickness_mm,shape,time_min,time_orig
15,5,slab,5,5 min
15,5,cylinder,3,3 min
15,5,sphere,3,3 min
15,10,slab,14,14 min
15,10,cylinder,8,8 min
15,10,sphere,6,6 min
15,15,slab,25,25 min
15,15,cylinder,14,14 min
15,15,sphere,10,10 min
15,20,slab,35,35 min
15,20,cylinder,20,20 min
15,20,sphere,15,15 min
15,25,slab,50,50 min
15,25,cylinder,30,30 min
15,25,sphere,20,20 min
15,30,slab,75,1¼ hr
15,30,cylinder,40,40 min
15,30,sphere,30,30 min
15,40,slab,105,1¾ hr
15,40,cylinder,60,1 hr
15,40,sphere,45,45 min
15,50,slab,165,2¾ hr
15,50,cylinder,90,1½ hr
15,50,sphere,60,1 hr
15,60,slab,225,3¾ hr
15,60,cylinder,120,2 hr
15,60,sphere,90,1½ hr
