source_id,thickness_mm,start_temp_C,time_min_at_55C,time_min_at_56C,time_min_at_57C,time_min_at_58C,time_min_at_59C,time_min_at_60C,time_orig_at_55C,time_orig_at_56C,time_orig_at_57C,time_orig_at_58C,time_orig_at_59C,time_orig_at_60C
15,5,5,255,180,120,90,60,40,4¼ hr,3 hr,2 hr,1½ hr,60 min,40 min
15,10,5,255,180,120,90,75,50,4¼ hr,3 hr,2 hr,1½ hr,1¼ hr,50 min
15,15,5,270,195,135,105,75,60,4½ hr,3¼ hr,2¼ hr,1¾ hr,1¼ hr,60 min
15,20,5,285,210,150,120,90,75,4¾ hr,3½ hr,2½ hr,2 hr,1½ hr,1¼ hr
15,25,5,300,225,165,135,105,90,5 hr,3¾ hr,2¾ hr,2¼ hr,1¾ hr,1½ hr
15,30,5,315,240,195,150,135,120,5¼ hr,4 hr,3¼ hr,2½ hr,2¼ hr,2 hr
15,35,5,330,255,210,180,150,135,5½ hr,4¼ hr,3½ hr,3 hr,2½ hr,2¼ hr
15,40,5,360,285,240,195,180,150,6 hr,4¾ hr,4 hr,3¼ hr,3 hr,2½ hr
15,45,5,390,315,255,225,195,180,6½ hr,5¼ hr,4¼ hr,3¾ hr,3¼ hr,3 hr
15,50,5,420,345,285,255,225,195,7 hr,5¾ hr,4¾ hr,4¼ hr,3¾ hr,3¼ hr
15,55,5,450,375,315,285,255,225,7½ hr,6¼ hr,5¼ hr,4¾ hr,4¼ hr,3¾ hr
15,60,5,480,405,345,315,285,255,8 hr,6¾ hr,5¾ hr,5¼ hr,4¾ hr,4¼ hr
15,65,5,510,435,375,345,315,285,8½ hr,7¼ hr,6¼ hr,5¾ hr,5¼ hr,4¾ hr
15,70,5,555,480,420,375,345,315,9¼ hr,8 hr,7 hr,6¼ hr,5¾ hr,5¼ hr
