source_id,thickness_mm,start_temp_C,time_min_at_61C,time_min_at_62C,time_min_at_63C,time_min_at_64C,time_min_at_65C,time_min_at_66C,time_orig_at_61C,time_orig_at_62C,time_orig_at_63C,time_orig_at_64C,time_orig_at_65C,time_orig_at_66C
15,5,5,25,25,18,16,14,13,25 min,25 min,18 min,16 min,14 min,13 min
15,10,5,35,30,30,25,25,25,35 min,30 min,30 min,25 min,25 min,25 min
15,15,5,50,45,40,40,35,35,50 min,45 min,40 min,40 min,35 min,35 min
15,20,5,60,55,55,50,45,45,60 min,55 min,55 min,50 min,45 min,45 min
15,25,5,75,75,75,60,55,55,1¼ hr,1¼ hr,1¼ hr,60 min,55 min,55 min
15,30,5,90,90,75,75,75,75,1½ hr,1½ hr,1¼ hr,1¼ hr,1¼ hr,1¼ hr
15,35,5,105,90,90,90,75,75,1¾ hr,1½ hr,1½ hr,1½ hr,1¼ hr,1¼ hr
15,40,5,105,105,105,90,90,90,1¾ hr,1¾ hr,1¾ hr,1½ hr,1½ hr,1½ hr
15,45,5,135,120,120,105,105,105,2¼ hr,2 hr,2 hr,1¾ hr,1¾ hr,1¾ hr
15,50,5,150,135,135,120,120,120,2½ hr,2¼ hr,2¼ hr,2 hr,2 hr,2 hr
15,55,5,165,165,150,150,135,135,2¾ hr,2¾ hr,2½ hr,2½ hr,2¼ hr,2¼ hr
15,60,5,180,180,165,165,150,150,3 hr,3 hr,2¾ hr,2¾ hr,2½ hr,2½ hr
15,65,5,210,195,195,180,180,165,3½ hr,3¼ hr,3¼ hr,3 hr,3 hr,2¾ hr
15,70,5,225,225,210,195,195,195,3¾ hr,3¾ hr,3½ hr,3¼ hr,3¼ hr,3¼ hr
