#,סוג בשר,נתח,English Name,יעד — סו-ויד+עישון,יעד — עישון בלבד,טמפ' בטיחות,זמן כולל — סו-ויד+עישון,זמן — עישון בלבד,הפרש זמן כולל,זמן מעשנת שנחסך,רמת קושי,צריבה — סו-ויד,צריבה — עישון,פחם מומלץ
1,בקר,בריסקט,Beef Brisket,94,95,63,33,12,21,9,5,לא,לא,Fogo Super Premium
2,בקר,אסאדו,Short Ribs,95,95,63,39,7,32,4,4,גלייז,לא,Fogo Super Premium
3,הודו,שווארמה,Hanging Shawarma,75,75,74,13.5,3.5,10,2,3,כן,כן,Weber Lump
4,טלה,שוק טלה,Lamb Shank,95,93,63,26,7,19,5,3,כן,כן,Weber Lump
5,עוף,פרגיות,Chicken Thighs,75,78,74,2.5,1.5,1,1,2,כן,לא,Fogo Premium
6,בקר,פיקאניה,Picanha,54,54,63,4.75,2.5,2.25,1.75,2,כן,כן,Kamado Joe
7,חזיר,ספייריבס חזיר,Pork Ribs,95,95,63,26,5,21,3,3,לא,לא,Weber Lump
8,חזיר,בטן חזיר,Pork Belly,90,90,63,13,4,9,3,3,כן,כן,Fogo Premium
9,אווז,חזה אווז,Duck Breast,65,65,74,3.75,1.5,2.25,0.75,3,כן,כן,Kamado Joe
10,בקר,לחי בקר,Beef Cheeks,95,95,63,26,8,18,6,3,לא,לא,Fogo Super Premium
11,בקר,טומאהוק,Tomahawk,54,54,63,2.75,2,0.75,1.25,3,כן,כן,Kamado Joe
12,בקר,פסטרמה בקר,Beef Pastrami,72,72,63,14,5,9,3,4,לא,לא,Fogo Premium
13,חזיר,כתף חזיר,Pork Shoulder,98,98,63,26,12,14,10,3,לא,לא,Fogo Super Premium
14,בקר,צוואר בקר,Beef Chuck,95,95,63,26,9,17,7,4,לא,לא,Fogo Super Premium
15,טלה,כתף טלה,Lamb Shoulder,95,95,63,22,7,15,5,3,לא,לא,Fogo Premium
16,מעורב,נקניקיות,Sausages,70,72,71,2.75,2.5,0.25,1.75,1,לא,לא,Weber Lump
17,בקר,קבב,Kebab,60,65,71,1.33,0.67,0.66,0.34,2,כן,כן,Fogo Premium
18,בקר,המבורגר,Hamburger,55,65,71,1.75,0.67,1.08,0.42000000000000004,1,כן,כן,Fogo Premium
19,הודו,חזה הודו,Turkey Breast,75,75,74,4,4,0,3,3,לא,לא,Weber Lump
20,בקר,טרי-טיפ,Tri-Tip,54,54,63,6.5,2,4.5,1.5,2,כן,כן,Kamado Joe
21,בקר,צלעות בקר (דינו),Beef Back Ribs,94,95,63,27,6.5,20.5,3.5,3,לא,לא,Fogo Super Premium
22,בקר,לשון בקר,Beef Tongue,90,92,63,50,6,44,4,4,לא,לא,Fogo Premium
23,בקר,אנטריקוט רוסט,Prime Rib Roast,56,54,63,9,3,6,2,3,כן,כן,Fogo Super Premium
24,בקר,אונטרייב,Chuck Short Ribs,95,95,63,27,7,20,4,4,לא,לא,Fogo Super Premium
25,בקר,שריר בקר (אוסובוקו),Beef Shank,96,96,63,26,8,18,6,4,לא,לא,Fogo Super Premium
26,בקר,סינטה רוסט,Striploin Roast,54,54,63,6.75,2.5,4.25,1.75,3,כן,כן,Fogo Premium
27,בקר,פילה בקר,Beef Tenderloin,54,54,63,4.5,1.5,3,1,2,כן,כן,Kamado Joe
28,בקר,ואסיו,Vacío,56,56,63,12.5,2.5,10,2,3,כן,כן,Weber Lump
29,חזיר,פילה חזיר,Pork Loin,63,63,63,5,2.5,2.5,1.5,2,כן,לא,Fogo Premium
30,חזיר,פילה חזיר מדומה,Pork Tenderloin,63,63,63,2.5,1.5,1,1,1,כן,כן,Weber Lump
31,חזיר,צוואר חזיר,Pork Collar,88,90,63,26,6,20,4,3,לא,לא,Fogo Premium
32,חזיר,רגל חזיר,Fresh Ham,71,71,63,27,9,18,6,4,לא,לא,Fogo Super Premium
33,חזיר,קוטלט חזיר,Pork Chops,63,63,63,2.33,1,1.33,0.6699999999999999,2,כן,כן,Weber Lump
34,טלה,צלעות טלה,Lamb Ribs,90,92,63,20,4,16,2,3,לא,לא,Fogo Premium
35,טלה,ירך טלה,Leg of Lamb,60,60,63,9.5,3.5,6,2,3,כן,כן,Fogo Super Premium
36,טלה,צלעות כבש (קארה),Rack of Lamb,56,56,63,3.5,1,2.5,0.5,3,כן,כן,Kamado Joe
37,טלה,חזה טלה,Lamb Breast,92,93,63,26,5,21,3,3,לא,לא,Fogo Premium
