#,סוג בשר,נתח,English Name,משקל,שלב 1: סו-ויד,שלב 2: עישון,טמפ' יעד (מרקם),טמפ' בטיחות,צריבה?,טיפול באמצע,wrap,זמן מנוחה,מרינדה/ראב,צ'אנקים,תערובות,פחם מומלץ,רמת קושי,טמפ' סו-ויד,זמן סו-ויד (מקס),טמפ' עישון,זמן עישון,טמפ' יעד,זמן כולל
1,בקר,בריסקט,Beef Brisket,5.5,68°C/24-30h,105°C/3h,94°C,63,לא,צינון מלא,לא,60 דק',ראב מלח+פלפל גס (טקסני),אלון/היקורי,אלון+היקורי,Fogo Super Premium,5,68,30,105,3,94,33
2,בקר,אסאדו,Short Ribs,2.5,68°C/24-36h,105°C/3h,95°C,63,גלייז,אין,לא,30 דק',ראב בקר + שום,מזקיט/אלון,אלון+פקאן,Weber Lump,4,68,36,105,3,95,39
3,הודו,שווארמה,Hanging Shawarma,2,68°C/12h,105°C/1.5h,75°C,74,כן,אין,לא,10 דק',תערובת שווארמה + שמן זית,פקאן/תפוח,פקאן+תפוח,Fogo Premium,3,68,12,105,1.5,75,13.5
4,טלה,שוק טלה,Lamb Shank,0.5,74°C/24h,105°C/2h,95°C,63,כן,אין,לא,15 דק',שום+רוזמרין+מלח,פקאן/דובדבן,פקאן+דובדבן,Fogo Premium,3,74,24,105,2,95,26
5,עוף,פרגיות,Chicken Thighs,1,65°C/2h,120°C/30m,75°C,74,כן,ייבוש,לא,5 דק',ראב עוף + לימון,תפוח/אלון,תפוח+אלון,Weber Lump,2,65,2,120,0.5,75,2.5
6,בקר,פיקאניה,Picanha,1.3,54°C/2-4h,100°C/45m,54°C,63,כן,צינון,לא,10 דק',מלח גס בלבד,פקאן/דובדבן,פקאן+דובדבן,Kamado Joe,2,54,4,100,0.75,54,4.75
7,חזיר,ספייריבס חזיר,Pork Ribs,1.5,74°C/24h,110°C/2h,95°C,63,לא,גלייז,לא,15 דק',ראב מתוק + פפריקה,תפוח/היקורי,תפוח/היקורי,Weber Lump,3,74,24,110,2,95,26
8,חזיר,בטן חזיר,Pork Belly,2,72°C/12h,110°C/1h,90°C,63,כן,אין,לא,15 דק',ראב מתוק-מלוח,היקורי/תפוח,היקורי+תפוח,Fogo Premium,3,72,12,110,1,90,13
9,אווז,חזה אווז,Duck Breast,0.35,63°C/3h,105°C/45m,65°C,74,כן,ייבוש,לא,8 דק',מלח+פלפל+תפוז,דובדבן,דובדבן נקי,Kamado Joe,3,63,3,105,0.75,65,3.75
10,בקר,לחי בקר,Beef Cheeks,1,80°C/24h,105°C/2h,95°C,63,לא,אין,לא,20 דק',ראב בקר,אלון/היקורי,אלון+היקורי,Fogo Super Premium,3,80,24,105,2,95,26
11,בקר,טומאהוק,Tomahawk,1.2,54°C/2h,100°C/45m,54°C,63,כן,צינון,לא,15 דק',מלח+פלפל גס,אלון/היקורי,אלון+היקורי,Kamado Joe,3,54,2,100,0.75,54,2.75
12,בקר,פסטרמה בקר,Beef Pastrami,2.5,65°C/12h,105°C/2h,72°C,63,לא,אין,לא,30 דק',כבישה + ציפוי כוסברה+פלפל,היקורי/אלון,היקורי+אלון,Fogo Premium,4,65,12,105,2,72,14
13,חזיר,כתף חזיר,Pork Shoulder,4,74°C/24h,110°C/2h,98°C,63,לא,מריחה,לא,45 דק',ראב מתוק (פולד פורק),היקורי/תפוח,היקורי+תפוח,Fogo Super Premium,3,74,24,110,2,98,26
14,בקר,צוואר בקר,Beef Chuck,2.5,74°C/24h,110°C/2h,95°C,63,לא,אין,לא,30 דק',ראב בקר,היקורי/אלון,היקורי+תפוח,Fogo Super Premium,4,74,24,110,2,95,26
15,טלה,כתף טלה,Lamb Shoulder,2,70°C/20h,105°C/2h,95°C,63,לא,אין,לא,20 דק',זעתר+שום+מלח,פקאן/תפוח,פקאן+דובדבן,Fogo Premium,3,70,20,105,2,95,22
16,מעורב,נקניקיות,Sausages,1,65°C/1-2h,90°C/45m,70°C,71,לא,ייבוש,לא,5 דק',ללא (מתובל מראש),תפוח/פקאן,תפוח+פקאן,Weber Lump,1,65,2,90,0.75,70,2.75
17,בקר,קבב,Kebab,1,55°C/1h,105°C/20m,60°C,71,כן,אין,לא,5 דק',תיבול קבב (פטרוזיליה+בצל),אלון,אלון בלבד,Fogo Premium,2,55,1,105,0.33,60,1.33
18,בקר,המבורגר,Hamburger,0.2,55°C/1.5h,85°C/15m,55°C,71,כן,ייבוש,לא,5 דק',מלח+פלפל,היקורי/אלון,היקורי+אלון,Weber Lump,1,55,1.5,85,0.25,55,1.75
19,הודו,חזה הודו,Turkey Breast,2.5,65°C/3h,105°C/1h,75°C,74,לא,אין,לא,20 דק',מלח כבישה + ראב עדין,דובדבן/תפוח,דובדבן+תפוח,Weber Lump,3,65,3,105,1,75,4
20,בקר,טרי-טיפ,Tri-Tip,1.3,54°C/4-6h,110°C/30m,54°C,63,כן,צינון,לא,15 דק',מלח+פלפל+שום,אלון/היקורי,אלון+היקורי,Kamado Joe,2,54,6,110,0.5,54,6.5
21,בקר,צלעות בקר (דינו),Beef Back Ribs,2.5,68°C/24h,110°C/3h,94°C,63,לא,אין,לא,30 דק',ראב בקר קלאסי,אלון/היקורי,אלון+היקורי,Fogo Super Premium,3,68,24,110,3,94,27
22,בקר,לשון בקר,Beef Tongue,1.2,70°C/24-48h,105°C/2h,90°C,63,לא,קילוף קרום,לא,20 דק',מלח+פלפל+כמון,היקורי/אלון,היקורי+אלון,Fogo Premium,4,70,48,105,2,90,50
23,בקר,אנטריקוט רוסט,Prime Rib Roast,3.5,56°C/6-8h,110°C/1h,56°C,63,כן,צינון,לא,20 דק',מלח+פלפל+רוזמרין+שום,אלון/דובדבן,אלון+דובדבן,Fogo Super Premium,3,56,8,110,1,56,9
24,בקר,אונטרייב,Chuck Short Ribs,1.5,68°C/24h,110°C/3h,95°C,63,לא,אין,לא,30 דק',ראב בקר+שום,אלון/היקורי,אלון+היקורי,Fogo Super Premium,4,68,24,110,3,95,27
25,בקר,שריר בקר (אוסובוקו),Beef Shank,1.8,74°C/24h,110°C/2h,96°C,63,לא,אין,לא,30 דק',ראב בקר,היקורי/אלון,היקורי+אלון,Fogo Super Premium,4,74,24,110,2,96,26
26,בקר,סינטה רוסט,Striploin Roast,2.5,54°C/4-6h,110°C/45m,54°C,63,כן,צינון,לא,20 דק',מלח גס+פלפל,אלון/היקורי,אלון+היקורי,Fogo Premium,3,54,6,110,0.75,54,6.75
